Year,Keywords
2016,"3D object recognition, Transfer learning, Convolutional neural networks"
2016,"3D ultrasound, First-trimester scan, Random Forests, Convolutional Neural Networks, Fetal plane localization"
2010,"Abstraction, knowledge transfer, reinforcement learning, transfer learning, robot navigation"
2015,"Action ordering, action selection, reinforcement learning, search pruning, transfer learning"
2017,"action recognition, deep learning, transfer learning, hybrid classifier"
2016,"Action recognition, Image annotation, Fisher vectors, Recurrent Neural Networks"
2015,"Action recognition, image classification, machine learning, object recognition, survey, transfer learning, visual categorization"
2014,"Action recognition, Lab to real-world, Transfer learning, General Schatten-p norm"
2015,"Action recognition, next-generation cameras, transfer learning, feature borrowing"
2015,"Action recognition, transfer learning, deep features"
2011,"Active class selection, active learning, affective computing, arousal classification, nearest neighbors classification, transfer learning"
2017,"Active contour, Convolutional Neural Netwrok, transfer learning, image segmentation, Support Vector machine, Pistachio sorting"
2018,"active learning, activity recognition, data mining, deep learning, machine learning, transfer learning, wearable sensors"
2016,"Active learning, Entropy-based sampling, Image classification, Bag-of-visual-words, Cognitive model"
2016,"Active learning, Multiple domains, Arbitrarily different distributions, Transfer learning"
2017,"Activity recognition (AR), feature-based knowledge transfer framework, smart home, transfer learning"
2018,"Activity recognition, Activity classification, Assistive robotics"
2017,"Activity recognition, hidden Markov model (HMM), maximum a posteriori (MAP) adaptation, soft-assignment, transfer learning"
2017,"Activity recognition, Machine learning, Transfer learning, Pervasive computing"
2018,"Actor learning, Atari2600 game, double deep Q network (DQN), multisource transfer"
2019,"Affective brain-computer interface (aBCI), cross dataset, domain adaptation, electroencephalography (EEG), emotion recognition, transfer learning"
2011,"Affective computing, arousal classification, individual differences, nearest neighbors classification, transfer learning"
2018,"Affective computing, Emotion recognition, Deep learning, Natural language processing, Text mining, Transfer learning"
2017,"Affordance, bootstrapping, discriminative learning, diversity maximization, feature selection, intrinsic motivation (IM), prediction hierarchies, reuse of concepts, structure learning, transfer learning"
2019,"Age estimation, Deep CNNs, Transfer learning, Regression, Cross-database evaluation, Mean Absolute Error"
2016,"Age estimation, Deep Convolutional Neural Networks, Transfer learning, Loss function"
2018,"Air-writing, human-computer interaction, gesture recognition, handwritten character recognition, convolutional neural networks"
2014,"Al planning, Action model learning, Transfer learning, Markov logic networks, Web search"
2011,"Algorithms, Classification, feature selection, transfer learning, spatial data mining, planetary and space science"
2012,"Algorithms, Metric learning, transfer learning, multitask learning, semi-supervised learning"
2015,"Algorithms, Performance, Heterogeneous transfer learning, domain adaption, text classification, activity recognition"
2018,"Analog Neural Network, Process Variation, Low-Precision, In-Situ Transfer Learning"
2009,"Analogy, Representation mapping, Cognitive architectures, Transfer, Transfer learning, Agent architectures"
2017,"anomaly detection, non-stationary time series, automatic diagnosis, reconstruction error, statistical process control, transfer learning"
2017,"Arabic script based languages, Generalized OCR, MDLSTM, CTC"
2017,"Arousal recognition, Affect, Deep neural networks, Machine learning, Transfer learning, Stress, Emotions"
2015,"Artificial intelligence, Machine learning, Support vector machines, Transfer learning, Parameter setting"
2018,"atrial fibrillation, convolutional neural network, recurrent neural network, deep learning, transfer learning"
2018,"Attribute learning, dictionary learning, multi-task learning, zero-shot learning, person re-identification, transfer learning"
2014,"Attribute learning, latent attribute space, multitask learning, transfer learning, zero-shot learning"
2018,"Attribute, Annotation, Relationship, Active learning, Transfer learning"
2017,"Audio emotion prediction, Transfer learning, Echo State Network, Regression"
2014,"audio equalizer, transfer learning, collaborative filtering, personalized item"
2016,"Audio-visual emotion recognition, Convolutional Neural Network, Long Short-Term Memory, Transfer learning"
2016,"Autoencoder, deep learning, long short-term memory, nontechnical loss, unsupervised learning, transfer learning"
2018,"Automated planning, case-base reasoning, robotics, control systems, planning and execution"
2017,"Automated Speech Recognition, Speech Therapy, Speech Assessment Tools"
2019,"Automatic ICD-9 coding, Deep learning, Transfer learning, MeSH"
2017,"Automatic speech recognition, acoustic model, transfer learning, deep neural network, multi-task learning, children's speech processing"
2018,"Automatic Speech Recognition, Bangla Speech Recognition, Short Speech Commands, MFCC, Transfer learning, Convolutional neural network"
2018,"Autonomous Driving, Deep Reinforcement Learning, Distributed Machine Learning, Cloud Computing, Simulation"
2015,"Autonomous robot navigation, Visual place recognition, Domain adaptation, Unsupervised learning, Multiple cues"
2014,"Bag-of-words (BoW) framework, computer vision, deep learning, dictionary learning, hierarchical visual architecture, image categorization, restricted Boltzmann machine (RBM), sparse feature coding, transfer learning"
2016,"Bagging, Ensemble method, Transfer learning, Machine learning"
2013,"Bayesian inference, classification, Gaussian process (GP), multitask learning (MTL), semisupervised learning (SSL), transfer learning"
2017,"Bayesian methods, Experimental design, Human-to-machine transfer learning, Interactive machine learning, Statistics in high dimensions"
2016,"Bayesian networks parameter learning, Transfer learning, Bayesian model comparison, Bayesian model averaging"
2015,"Bayesian networks, Temporal reasoning, Transfer learning, Knowledge transfer"
2019,"Bayesian optimization, Transfer learning, Gaussian process"
2018,"Bayesian transfer learning, fully probabilistic design, incomplete modelling, Kalman filtering"
2016,"Bearing, Local mode decomposition, Transfer learning strategy, Principal components analysis"
2018,"bengali digit classification, deep learning, convolution neural networks, transfer learning, data augmentation, keras, Numtadb"
2018,"Big data, multi-view, transfer learning, data Insufficiency, subspace learning, Low rank"
2017,"Big data, Transfer learning, Temperature forecast"
2017,"bilingualism, handwritten character recognition, deep learning, hierarchical generative models, restricted Boltzmann machines, transfer learning"
2018,"Bioinformatics, Cheminformatics, Computer Vision, Natural Language Processing, Transfer Learning, Weak Supervised Learning"
2019,"Biomedical signal processing, Fetal monitoring, Deep convolutional neural network, Classification"
2017,"Biometrics, User Identification, Electrocardiogram (ECG), Deep Learning, Feature Learning, Transfer Learning, Deep Autoencoder"
2018,"Bipartite graph learning, kernel methods, Kronecker product kernel, ridge regression, support vector machine (SVM), transfer learning, zero-shot learning"
2017,"Black-Box Optimization, Bayesian Optimization, Gaussian Processes, Hyperparameters, Transfer Learning, Automated Stopping"
2018,"Blast furnace (BF), m-estimator, molten iron quality (MIQ), multiobjective optimization, multioutput leastsquares support vector regression (LS-SVR), multitask transfer learning (TL), nonlinear autoregressive exogenous (NARX) model, robust modeling"
2018,"Blast furnace (BF), Molten iron quality (MIQ), Multi-output LS-SVR (M-LS-SVR), Data-driven predictive control, Inverse system identification"
2011,"Boosting, covariate shift, detector adaptiveness, object detection, transfer learning"
2016,"Boosting, Domain adaptation, Transfer learning"
2010,"Boosting, Multi-task learning, Inductive transfer learning, Multiple tasks, Text classification"
2014,"boosting, transfer learning, distribution measure, facial expression recognition"
2015,"Bots, cross-language learning, editors, feature engineering, transfer learning, users, vandalism, Wikipedia"
