Authors	records	% of 1289
LU J	21	1.629
ZHANG GQ	19	1.474
YANG Q	18	1.396
XIANG T	16	1.241
FU Y	14	1.086
GONG SG	12	0.931
PAN WK	12	0.931
WANG ST	12	0.931
DENG ZH	10	0.776
JIANG YZ	10	0.776
CAPUTO B	9	0.698
PAN SJ	9	0.698
SHAO M	9	0.698
ZUO H	9	0.698
BEHBOOD V	8	0.621
DING ZM	8	0.621
WU DR	8	0.621
ALEXANDRE LA	7	0.543
CHOI KS	7	0.543
HE Q	7	0.543
KANDASWAMY C	7	0.543
LI Y	7	0.543
SHAO H	7	0.543
SILVA LM	7	0.543
SUN SL	7	0.543
TAO DC	7	0.543
VENKATESH S	7	0.543
WU XX	7	0.543
ZHANG L	7	0.543
ZHANG Y	7	0.543
DARRELL T	6	0.465
DING GG	6	0.465
FANG M	6	0.465
LI XL	6	0.465
LIU F	6	0.465
MING Z	6	0.465
PEDRYCZ W	6	0.465
SUZUKI E	6	0.465
TAYLOR ME	6	0.465
TOMMASI T	6	0.465
TONG B	6	0.465
TSANG IW	6	0.465
WANG H	6	0.465
WU QY	6	0.465
YANG L	6	0.465
ZHANG H	6	0.465
ZHANG MJ	6	0.465
ZHANG ZX	6	0.465
ZHUANG FZ	6	0.465
BENNANI Y	5	0.388
CHEN L	5	0.388
CHUNG FL	5	0.388
FAN W	5	0.388
GUPTA S	5	0.388
HOSPEDALES TM	5	0.388
HU XG	5	0.388
KHOSRAVI A	5	0.388
KOSECKA J	5	0.388
LI HZ	5	0.388
LI L	5	0.388
LI W	5	0.388
LIU W	5	0.388
LONG MS	5	0.388
LUO P	5	0.388
MIN HQ	5	0.388
MORALES EF	5	0.388
ONG YS	5	0.388
ORABONA F	5	0.388
PONTIL M	5	0.388
REDDY CK	5	0.388
REN JT	5	0.388
SANTOS JM	5	0.388
SCHULLER B	5	0.388
WANG GJ	5	0.388
WANG J	5	0.388
WANG JM	5	0.388
WANG X	5	0.388
WANG YH	5	0.388
WEISS KR	5	0.388
WOLF L	5	0.388
WU Y	5	0.388
YAN Y	5	0.388
YU PS	5	0.388
ZHANG J	5	0.388
ZHANG YH	5	0.388
ZHENG WM	5	0.388
ZHENG WS	5	0.388
ZISSERMAN A	5	0.388
AHA DW	4	0.310
AL-STOUHI S	4	0.310
AYTAR Y	4	0.310
CAI ZH	4	0.310
CARBONELL J	4	0.310
CARDOSO JS	4	0.310
COSTA AHR	4	0.310
DE BRUIJNE M	4	0.310
DE LA TORRE F	4	0.310
DE SA JM	4	0.310
DENG J	4	0.310
DENG WH	4	0.310
FACHANTIDIS A	4	0.310
FU YW	4	0.310
GAO J	4	0.310
GUTSTEIN S	4	0.310
GUYON I	4	0.310
HABRARD A	4	0.310
HU JL	4	0.310
JIA YD	4	0.310
KHOSHGOFTAAR TM	4	0.310
KIM D	4	0.310
KUZBORSKIJ I	4	0.310
LI B	4	0.310
LI PP	4	0.310
LIU B	4	0.310
LIU J	4	0.310
LIU Q	4	0.310
LIU XB	4	0.310
LIU Y	4	0.310
LOY CC	4	0.310
NG MK	4	0.310
OLIVEIRA LS	4	0.310
PARTALAS I	4	0.310
PEETERS R	4	0.310
PHUNG D	4	0.310
RANA S	4	0.310
RICCI E	4	0.310
SEBE N	4	0.310
SINGH R	4	0.310
TADEPALLI P	4	0.310
VAN GOOL L	4	0.310
VLAHAVAS I	4	0.310
WANG M	4	0.310
XUE B	4	0.310
YAN YG	4	0.310
YANG Y	4	0.310
YAO Y	4	0.310
ZHANG D	4	0.310
ZHOU S	4	0.310
ZONG Y	4	0.310
