Meeting Titles	records	% of 1289
INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	41	3.181
31ST IEEE CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	18	1.396
16TH IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION ICCV	16	1.241
IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS	13	1.009
IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION ICCV	11	0.853
14TH EUROPEAN CONFERENCE ON COMPUTER VISION ECCV	10	0.776
18TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION INTERSPEECH 2017	10	0.776
24TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION ICPR	10	0.776
30TH IEEE CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	10	0.776
IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC	10	0.776
17TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION INTERSPEECH 2016	9	0.698
EUROPEAN CONFERENCE ON MACHINE LEARNING AND PRINCIPLES AND PRACTICE OF KNOWLEDGE DISCOVERY IN DATABASES ECML PKDD	9	0.698
IEEE CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	9	0.698
IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION	9	0.698
24TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING KDD	8	0.621
31ST CONFERENCE ON NEURAL INFORMATION PROCESSING SYSTEMS NIPS	8	0.621
16TH IEEE INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS ICMLA	7	0.543
22ND INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION ICPR	7	0.543
23RD INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION ICPR	7	0.543
IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	7	0.543
1ST INTERNATIONAL WORKSHOP ON SOCIAL INFLUENCE ANALYSIS 24TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE IJCAI	6	0.465
21ST IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS ITSC	6	0.465
31ST CONFERENCE ON GRAPHICS PATTERNS AND IMAGES SIBGRAPI	6	0.465
8TH IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE IEEE SSCI	6	0.465
IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE IEEE SSCI	6	0.465
12TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION FG	5	0.388
12TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS VISIGRAPP	5	0.388
13TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE GESTURE RECOGNITION FG	5	0.388
25TH IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS	5	0.388
27TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	5	0.388
IEEE 13TH INTERNATIONAL CONFERENCE ON DATA MINING ICDM	5	0.388
IEEE AUTOMATIC SPEECH RECOGNITION AND UNDERSTANDING WORKSHOP ASRU	5	0.388
13TH EUROPEAN CONFERENCE ON COMPUTER VISION ECCV	4	0.310
16TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS AAMAS	4	0.310
16TH INTERNATIONAL CONFERENCE ON FRONTIERS IN HANDWRITING RECOGNITION ICFHR	4	0.310
