Source Titles	records	% of 1289
LECTURE NOTES IN COMPUTER SCIENCE	100	7.758
LECTURE NOTES IN ARTIFICIAL INTELLIGENCE	60	4.655
NEUROCOMPUTING	53	4.112
IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION	46	3.569
IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	41	3.181
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	26	2.017
INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION	25	1.939
IEEE TRANSACTIONS ON IMAGE PROCESSING	24	1.862
IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION	23	1.784
PATTERN RECOGNITION LETTERS	22	1.707
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS	20	1.552
INTERSPEECH	20	1.552
KNOWLEDGE BASED SYSTEMS	20	1.552
EXPERT SYSTEMS WITH APPLICATIONS	19	1.474
PATTERN RECOGNITION	19	1.474
2018 IEEE CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	18	1.396
IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS	18	1.396
KNOWLEDGE AND INFORMATION SYSTEMS	18	1.396
PROCEEDINGS INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE	17	1.319
IEEE INTERNATIONAL CONFERENCE ON DATA MINING	15	1.164
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	14	1.086
MACHINE LEARNING	14	1.086
2016 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	13	1.009
2017 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	13	1.009
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	13	1.009
IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS	13	1.009
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS	12	0.931
JOURNAL OF MACHINE LEARNING RESEARCH	12	0.931
ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	11	0.853
NEURAL COMPUTING APPLICATIONS	11	0.853
18TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION INTERSPEECH 2017 VOLS 1 6	10	0.776
