id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
709	"ando rk, 2005, j mach learn res, v6, p1817"	-0.5902	0.2451	3	53	44	44
1607	"belkin m, 2006, j mach learn res, v7, p2399"	-0.7596	-0.1392	2	54	36	39
1697	"ben-david shai, 2007, adv neural inform pr, p137, doi 10.1007/s10994-009-5152-4"	-0.7131	-0.0302	2	52	26	27
1735	"bengio y, 2009, found trends mach le, v2, p1, doi 10.1561/2200000006"	0.4948	0.1684	1	45	30	31
1739	"bengio y, 2013, ieee t pattern anal, v35, p1798, doi 10.1109/tpami.2013.50"	0.5116	-0.035	1	58	29	29
2179	"blitzer j., 2006, p 2006 c emp meth na, p120"	-0.8036	0.0743	3	60	75	76
2227	"blum a., 1998, proceedings of the eleventh annual conference on computational learning theory, p92, doi 10.1145/279943.279962"	-0.4907	0.1909	3	47	25	26
2363	"borgwardt km, 2006, bioinformatics, v22, pe49, doi 10.1093/bioinformatics/btl242"	-0.7852	-0.2503	2	57	27	29
2590	"breiman l, 2001, mach learn, v45, p5, doi 10.1023/a:1010933404324"	0.0595	0.1504	3	58	25	25
2723	"bruzzone l, 2010, ieee t pattern anal, v32, p770, doi 10.1109/tpami.2009.57"	-0.7579	-0.3108	2	56	48	48
3156	"caruana r, 1997, mach learn, v28, p41, doi 10.1023/a:1007379606734"	-0.6395	0.4656	3	63	76	90
3348	"chang cc, 2011, acm t intel syst tec, v2, doi 10.1145/1961189.1961199"	-0.2306	0.2424	3	66	52	58
4351	"cortes c, 1995, mach learn, v20, p273, doi 10.1023/a:1022627411411"	0.1092	0.2173	3	61	33	33
4641	"dai w., 2007, p 24 int c mach lear, p193, doi 10.1145/1273496.1273521"	-0.7404	0.1979	3	64	106	116
4673	"dai wy, 2007, kdd-2007 proceedings of the thirteenth acm sigkdd international conference on knowledge discovery and data mining, p210"	-1.1073	0.1222	3	39	27	27
4685	"dalal n, 2005, proc cvpr ieee, p886, doi 10.1109/cvpr.2005.177"	0.7467	0.1081	1	50	27	30
4787	"daume h, 2006, j artif intell res, v26, p101, doi 10.1613/jair.1872"	-0.8126	0.181	3	52	42	44
5069	"deng j, 2009, proc cvpr ieee, p248, doi 10.1109/cvpr.2009.5206848"	1.3041	0.1188	1	38	25	27
5070	"deng j, 2009, proc cvpr ieee, p248, doi 10.1109/cvprw.2009.5206848"	1.0947	-0.1575	1	42	32	32
5520	"donahue j., 2014, p 31 int c mach lear, p647"	0.7311	-0.1703	1	64	43	43
5730	"duan lx, 2009, proc cvpr ieee, p1375, doi [10.1109/cvprw.2009.5206747 10.1109/cvpr.2009.5206747]"	-0.4845	-0.201	2	52	30	32
5733	"duan lx, 2012, ieee t neur net lear, v23, p504, doi 10.1109/tnnls.2011.2178556"	-0.7796	-0.3856	2	49	33	33
