id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
7	active learning	-0.554	0.0321	1	5	6	4
9	activity recognition	-0.4772	-0.4262	1	3	3	4
10	adaptation	1.1093	0.3045	2	3	3	5
19	alexnet	-0.7213	0.2782	2	6	7	3
20	algorithm	-0.0858	0.7327	1	3	3	5
21	algorithms	-0.1888	0.7391	1	4	4	3
41	automatic speech recognition	0.9454	0.1392	2	6	7	5
42	automatic target recognition	-1.0367	-0.0568	1	7	8	3
77	cancer	-0.9337	-0.5116	1	5	6	3
89	classification	-0.6937	-0.0333	1	20	24	16
94	cnn	-0.4599	0.247	2	8	16	11
107	computer vision	-0.0853	0.0989	2	13	16	8
118	convolution neural network	0.0183	-0.2514	2	2	2	3
119	convolution neural networks	0.4962	-0.6638	2	3	5	4
121	convolutional neural network	-0.1829	-0.0392	2	14	21	18
124	convolutional neural networks	0.2971	-0.0766	2	9	19	19
128	convolutional neural-networks	-0.7817	-0.3763	1	12	14	6
138	cross-domain	1.2297	-0.5847	2	2	5	3
165	deep convolutional neural network	-0.7686	-0.5231	1	8	8	3
169	deep learning	-0.1422	-0.165	2	30	77	66
171	deep neural network	1.0942	-0.0314	2	4	4	5
172	deep neural networks	0.7091	-0.3225	2	5	5	4
203	domain adaptation	-0.3685	-0.2083	1	9	10	11
222	ensemble	-0.6316	0.1945	1	6	7	4
243	face recognition	-0.1385	0.5202	1	5	7	7
260	features	0.5708	-0.512	2	5	7	5
266	fine-tuning	0.4503	0.1326	2	3	5	3
273	framework	0.1343	0.6809	1	6	6	5
300	handwriting recognition	1.1275	-0.196	2	2	2	3
331	image classification	0.3805	-0.4034	2	9	14	9
340	images	-1.0489	-0.3786	1	9	9	3
344	inception	0.3681	0.345	2	7	10	4
373	knowledge transfer	1.0211	-0.4625	2	6	8	8
397	machine	-0.2219	0.6829	1	6	6	4
398	machine learning	-0.0114	-0.3718	2	12	15	12
432	model	-0.4225	0.6062	1	5	5	3
434	models	-1.1409	-0.1991	1	6	7	3
447	multi-task learning	0.8182	0.1955	2	6	7	6
464	neural network	-0.8126	-0.2216	1	4	6	5
465	neural networks	0.3454	0.7121	1	3	3	4
466	neural-networks	-0.4682	0.4335	1	8	9	9
477	object detection	0.1269	0.1486	2	7	9	3
546	recognition	-0.5711	-0.2838	1	13	14	16
548	recommender system	1.1997	-0.6197	2	2	5	4
560	regression	0.0904	0.3876	1	7	7	5
561	regularization	1.1558	0.3321	2	1	1	3
562	reinforcement learning	0.2915	0.7595	1	2	2	7
582	segmentation	-0.2491	0.2126	1	9	9	5
586	semi-supervised learning	-0.5219	-0.0848	1	4	4	3
590	sentiment analysis	0.1382	-0.604	1	4	6	6
630	speech recognition	1.0991	0.0482	2	2	2	3
646	support vector machine	-0.2353	-0.6187	1	5	6	5
647	support vector machines	-1.0581	-0.2328	1	7	7	3
661	tensorflow	0.0143	-0.1035	2	7	7	3
682	transfer learning (tl)	-0.2192	0.5986	1	5	5	3
